Depth,age,NoteW,Source
239.451,9.884,Zeeden,Wilkens et al. 2017
239.761,9.906,Zeeden,Wilkens et al. 2017
240.091,9.927,Zeeden,Wilkens et al. 2017
240.391,9.956,Zeeden,Wilkens et al. 2017
240.591,9.977,Zeeden,Wilkens et al. 2017
240.901,9.999,Zeeden,Wilkens et al. 2017
241.883,10.073,Zeeden,Wilkens et al. 2017
242.063,10.092,Zeeden,Wilkens et al. 2017
242.393,10.169,Zeeden,Wilkens et al. 2017
242.553,10.19,Zeeden,Wilkens et al. 2017
242.803,10.208,Zeeden,Wilkens et al. 2017
243.143,10.243,Zeeden,Wilkens et al. 2017
243.443,10.263,Zeeden,Wilkens et al. 2017
243.633,10.284,Zeeden,Wilkens et al. 2017
243.823,10.304,Zeeden,Wilkens et al. 2017
243.993,10.356,Zeeden,Wilkens et al. 2017
244.243,10.377,Zeeden,Wilkens et al. 2017
244.413,10.398,Zeeden,Wilkens et al. 2017
244.505,10.417,Zeeden,Wilkens et al. 2017
244.695,10.43,Zeeden,Wilkens et al. 2017
244.915,10.451,Zeeden,Wilkens et al. 2017
245.085,10.47,Zeeden,Wilkens et al. 2017
245.255,10.491,Zeeden,Wilkens et al. 2017
245.465,10.509,Zeeden,Wilkens et al. 2017
245.695,10.529,Zeeden,Wilkens et al. 2017
245.865,10.547,Zeeden,Wilkens et al. 2017
246.895,10.621,Zeeden,Wilkens et al. 2017
247.155,10.642,Zeeden,Wilkens et al. 2017
247.405,10.663,Zeeden,Wilkens et al. 2017
248.295,10.736,Zeeden,Wilkens et al. 2017
248.515,10.756,Zeeden,Wilkens et al. 2017
248.815,10.778,Zeeden,Wilkens et al. 2017
249.495,10.828,Zeeden,Wilkens et al. 2017
249.695,10.851,Zeeden,Wilkens et al. 2017
249.915,10.87,Zeeden,Wilkens et al. 2017
250.185,10.892,Zeeden,Wilkens et al. 2017
250.355,10.907,Zeeden,Wilkens et al. 2017
250.505,10.927,Zeeden,Wilkens et al. 2017
250.765,10.946,Zeeden,Wilkens et al. 2017
250.995,10.966,Zeeden,Wilkens et al. 2017
251.755,11.021,Zeeden,Wilkens et al. 2017
251.945,11.041,Zeeden,Wilkens et al. 2017
252.185,11.063,Zeeden,Wilkens et al. 2017
252.805,11.113,Zeeden,Wilkens et al. 2017
253.075,11.136,Zeeden,Wilkens et al. 2017
253.225,11.156,Zeeden,Wilkens et al. 2017
253.405,11.178,Zeeden,Wilkens et al. 2017
253.905,11.228,Zeeden,Wilkens et al. 2017
254.055,11.249,Zeeden,Wilkens et al. 2017
254.245,11.27,Zeeden,Wilkens et al. 2017
254.505,11.308,Zeeden,Wilkens et al. 2017
254.625,11.324,Zeeden,Wilkens et al. 2017
254.825,11.345,Zeeden,Wilkens et al. 2017
254.995,11.362,Zeeden,Wilkens et al. 2017
255.105,11.381,Zeeden,Wilkens et al. 2017
255.305,11.4,Zeeden,Wilkens et al. 2017
255.495,11.421,Zeeden,Wilkens et al. 2017
255.745,11.442,Zeeden,Wilkens et al. 2017
256.085,11.472,Zeeden,Wilkens et al. 2017
256.375,11.492,Zeeden,Wilkens et al. 2017
256.635,11.514,Zeeden,Wilkens et al. 2017
256.815,11.535,Zeeden,Wilkens et al. 2017
257.135,11.559,Zeeden,Wilkens et al. 2017
257.435,11.585,Zeeden,Wilkens et al. 2017
257.635,11.606,Zeeden,Wilkens et al. 2017
257.815,11.629,Zeeden,Wilkens et al. 2017
258.005,11.648,Zeeden,Wilkens et al. 2017
258.315,11.681,Zeeden,Wilkens et al. 2017
258.715,11.723,Zeeden,Wilkens et al. 2017
259.185,11.76,Zeeden,Wilkens et al. 2017
259.655,11.799,Zeeden,Wilkens et al. 2017
