"x","y"
322,-0.106766456000999
323,0.168410529700157
324,0.447181663785979
325,0.721123160979908
326,0.982822090238558
327,1.22542710620366
328,1.44107600928374
329,1.62392830835374
330,1.76892973224769
331,1.87102600979967
332,1.92729689544714
333,1.93594531499774
334,1.89539882853321
335,1.80689292456075
336,1.67200004299867
337,1.4935281122725
338,1.27596981786305
339,1.02471638234735
340,0.745495979713435
341,0.446170809552793
342,0.134266120045807
343,-0.182018937804989
344,-0.49358667590091
345,-0.791900991828366
346,-1.06887505172186
347,-1.31541116748269
348,-1.52488262802663
349,-1.69099967368051
350,-1.80803413045627
351,-1.87317806992838
352,-1.88485905217855
353,-1.84217854011061
354,-1.7479444621501
355,-1.6054140152706
356,-1.41907988495296
357,-1.19545646514439
358,-0.941282784066136
359,-0.663747138487542
360,-0.370599410863045
361,-0.0695894836470853
362,0.232318980665036
363,0.527151465344845
364,0.808955162130237
365,1.07144031134803
366,1.30854178759911
367,1.51587922253965
368,1.68974615064797
369,1.8265484235394
370,1.92482591843267
371,1.98334314682055
372,2.00198779156602
373,1.98177070690226
374,1.92437664988459
375,1.83149037756833
376,1.70648140406408
377,1.55193302352335
378,1.37099011578271
379,1.16803304918599
380,0.946431337843794
381,0.710228398688881
382,0.464029234339109
383,0.212438847412342
384,-0.0402747108846406
385,-0.288720217974826
386,-0.528180354103338
387,-0.754274750926374
388,-0.962061454414998
389,-1.14749704763647
390,-1.30732433361718
391,-1.43794916397246
392,-1.53701287882489
393,-1.60283072111912
394,-1.63405488521092
395,-1.62989915114115
396,-1.59092510459491
397,-1.5166834770241
398,-1.40874670834704
399,-1.26902418989307
400,-1.09942531299154
401,-0.903094957479036
402,-0.684188857425344
403,-0.446750429763203
404,-0.195721628521538
405,0.0629447380375484
406,0.324194398748114
407,0.582411496759117
408,0.83141858953441
409,1.06649835731911
410,1.28259652894728
411,1.47499578466405
412,1.63976502467368
413,1.77308546631747
414,1.8716999126218
415,1.93313738657222
416,1.9556008139764
417,1.93751775491604
418,1.87911284366518
419,1.7802737630868
420,1.64279758737325
421,1.46971687922407
422,1.26406420133884
423,1.03021992206137
424,0.774361483927802
425,0.501543158104083
426,0.219065558496572
427,-0.0658830181254019
428,-0.346563543540578
429,-0.615226135294523
430,-0.86423322806981
431,-1.08774433074137
432,-1.27845882940282
433,-1.43109781861419
434,-1.54161788144274
435,-1.60631255236677
436,-1.62338475719394
437,-1.59283449592426
438,-1.5155603056539
439,-1.39425779767135
440,-1.23364429173149
441,-1.03832479045218
442,-0.815038322054665
443,-0.57142245185638
444,-0.314103890941545
445,-0.0511694731756612
446,0.209406284712779
447,0.461558257324654
448,0.697985830753602
449,0.912848513874545
450,1.10154130406963
451,1.259571515858
452,1.38323268371799
453,1.47072773345726
454,1.51992263947241
455,1.53036813321534
456,1.50307506891927
457,1.43894198368035
458,1.3407768059241
459,1.21217368403519
460,1.05683908353531
461,0.879827275590411
462,0.686641799914498
463,0.482561561947558
464,0.27320241854064
465,0.0646294950928664
466,-0.137990620092804
467,-0.329042070165322
468,-0.503807535369811
469,-0.658131281636498
470,-0.787969892032634
471,-0.890627755269721
472,-0.963746211470316
473,-1.00620208926421
474,-1.01732148582927
475,-0.998002938261684
